6985	32
0	1	
raw
Accepted	Cluster	Timestamp	Height	Width	Slope	SlopeD	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	0	5152	753.000000	1.#INF00	0.000000	0.000000	-29.883156	-111.883156	-158.883156	-107.883156	-38.883156	-111.883156	-378.883156	-677.883156	-782.883156	-626.883156	-363.883156	-196.883156	-174.883156	-204.883156	-202.883156	-174.883156	-152.883156	-136.883156	-110.883156	-102.883156	-150.883156	-233.883156	-285.883156	-281.883156	-262.883156	-265.883156	-290.883156	-333.883156	-401.883156	-480.883156	-525.883156	-495.883156
0	0	5171	1054.000000	1.#INF00	0.000000	0.000000	-142.883156	-328.883156	-461.883156	-464.883156	-394.883156	-388.883156	-506.883156	-663.883156	-718.883156	-599.883156	-361.883156	-142.883156	-50.883156	-78.883156	-119.883156	-79.883156	31.116844	150.116844	243.116844	309.116844	335.116844	299.116844	205.116844	90.116844	-13.883156	-96.883156	-151.883156	-164.883156	-136.883156	-78.883156	22.116844	181.116844
1	1	5174	3701.000000	1.#INF00	0.000000	0.000000	-59.883156	-114.883156	-162.883156	-151.883156	-23.883156	205.116844	326.116844	-44.883156	-1126.883156	-2077.883156	-2077.883156	-2077.883156	-2045.883156	-541.883156	605.116844	1232.116844	1500.116844	1598.116844	1623.116844	1589.116844	1487.116844	1332.116844	1158.116844	985.116844	821.116844	677.116844	563.116844	470.116844	383.116844	301.116844	240.116844	202.116844
0	0	5175	1163.000000	1.#INF00	0.000000	0.000000	-181.883156	-185.883156	-244.883156	-275.883156	-219.883156	-149.883156	-220.883156	-486.883156	-798.883156	-930.883156	-776.883156	-440.883156	-120.883156	40.116844	45.116844	10.116844	43.116844	145.116844	226.116844	232.116844	181.116844	113.116844	56.116844	24.116844	-8.883156	-79.883156	-159.883156	-174.883156	-100.883156	1.116844	53.116844	28.116844
0	0	5204	1658.000000	1.#INF00	0.000000	0.000000	510.116844	394.116844	218.116844	99.116844	21.116844	-112.883156	-353.883156	-653.883156	-898.883156	-976.883156	-862.883156	-627.883156	-389.883156	-234.883156	-174.883156	-155.883156	-86.883156	64.116844	219.116844	286.116844	276.116844	278.116844	321.116844	352.116844	343.116844	352.116844	439.116844	567.116844	656.116844	681.116844	670.116844	643.116844
0	0	5207	785.000000	1.#INF00	0.000000	0.000000	-129.883156	-89.883156	-111.883156	-214.883156	-338.883156	-427.883156	-506.883156	-619.883156	-721.883156	-710.883156	-545.883156	-300.883156	-110.883156	-74.883156	-154.883156	-205.883156	-140.883156	-11.883156	63.116844	28.116844	-79.883156	-185.883156	-234.883156	-218.883156	-168.883156	-110.883156	-55.883156	-17.883156	-1.883156	7.116844	10.116844	-27.883156
0	0	5209	1117.000000	1.#INF00	0.000000	0.000000	0.116844	-232.883156	-457.883156	-579.883156	-593.883156	-572.883156	-596.883156	-667.883156	-713.883156	-664.883156	-516.883156	-333.883156	-200.883156	-129.883156	-47.883156	104.116844	288.116844	403.116844	377.116844	218.116844	0.116844	-192.883156	-319.883156	-386.883156	-404.883156	-381.883156	-338.883156	-301.883156	-266.883156	-214.883156	-147.883156	-101.883156
0	0	5216	1298.000000	1.#INF00	0.000000	0.000000	-235.883156	-162.883156	-207.883156	-331.883156	-419.883156	-423.883156	-437.883156	-573.883156	-799.883156	-945.883156	-876.883156	-611.883156	-284.883156	-42.883156	39.116844	-20.883156	-123.883156	-162.883156	-86.883156	68.116844	225.116844	327.116844	352.116844	293.116844	167.116844	38.116844	-28.883156	-28.883156	-13.883156	-20.883156	-47.883156	-87.883156
0	0	5267	1188.000000	1.#INF00	0.000000	0.000000	-272.883156	-242.883156	-172.883156	-106.883156	-90.883156	-185.883156	-402.883156	-641.883156	-737.883156	-596.883156	-278.883156	57.116844	282.116844	382.116844	425.116844	450.116844	435.116844	346.116844	192.116844	-1.883156	-217.883156	-430.883156	-570.883156	-563.883156	-402.883156	-179.883156	-10.883156	41.116844	2.116844	-45.883156	-43.883156	-0.883156
0	0	5281	3708.000000	1.#INF00	0.000000	0.000000	123.116844	193.116844	241.116844	347.116844	601.116844	929.116844	992.116844	362.116844	-980.883156	-2077.883156	-2077.883156	-2077.883156	-733.883156	635.116844	1409.116844	1630.116844	1606.116844	1558.116844	1522.116844	1433.116844	1260.116844	1049.116844	878.116844	769.116844	679.116844	564.116844	446.116844	390.116844	407.116844	427.116844	400.116844	357.116844
0	0	5317	1362.000000	1.#INF00	0.000000	0.000000	-367.883156	-312.883156	-235.883156	-160.883156	-143.883156	-244.883156	-460.883156	-693.883156	-822.883156	-799.883156	-676.883156	-551.883156	-464.883156	-371.883156	-249.883156	-152.883156	-154.883156	-269.883156	-434.883156	-540.883156	-504.883156	-339.883156	-118.883156	96.116844	281.116844	432.116844	529.116844	539.116844	452.116844	295.116844	119.116844	-3.883156
0	0	5333	857.000000	1.#INF00	0.000000	0.000000	43.116844	-46.883156	-127.883156	-156.883156	-171.883156	-252.883156	-430.883156	-655.883156	-813.883156	-801.883156	-618.883156	-370.883156	-178.883156	-90.883156	-98.883156	-160.883156	-213.883156	-195.883156	-102.883156	-8.883156	10.116844	-41.883156	-115.883156	-175.883156	-216.883156	-238.883156	-249.883156	-279.883156	-349.883156	-449.883156	-549.883156	-638.883156
1	1	5362	3776.000000	1.#INF00	0.000000	0.000000	-8.883156	45.116844	119.116844	216.116844	371.116844	581.116844	666.116844	259.116844	-859.883156	-2077.883156	-2077.883156	-2077.883156	-2077.883156	-864.883156	305.116844	1033.116844	1427.116844	1635.116844	1698.116844	1604.116844	1383.116844	1121.116844	892.116844	710.116844	557.116844	425.116844	305.116844	186.116844	72.116844	-19.883156	-74.883156	-94.883156
0	0	5363	785.000000	1.#INF00	0.000000	0.000000	-123.883156	-154.883156	-140.883156	-132.883156	-193.883156	-325.883156	-480.883156	-627.883156	-756.883156	-815.883156	-735.883156	-542.883156	-376.883156	-345.883156	-420.883156	-497.883156	-508.883156	-480.883156	-478.883156	-510.883156	-520.883156	-456.883156	-314.883156	-144.883156	-30.883156	-43.883156	-149.883156	-227.883156	-211.883156	-161.883156	-181.883156	-307.883156
0	0	5406	1336.000000	1.#INF00	0.000000	0.000000	-149.883156	-336.883156	-399.883156	-331.883156	-219.883156	-188.883156	-322.883156	-574.883156	-754.883156	-684.883156	-378.883156	-27.883156	198.116844	289.116844	353.116844	459.116844	567.116844	581.116844	456.116844	229.116844	5.116844	-103.883156	-56.883156	69.116844	140.116844	97.116844	7.116844	-34.883156	-18.883156	-25.883156	-115.883156	-254.883156
0	0	5418	857.000000	1.#INF00	0.000000	0.000000	114.116844	-52.883156	-173.883156	-227.883156	-268.883156	-368.883156	-532.883156	-687.883156	-742.883156	-674.883156	-527.883156	-367.883156	-239.883156	-169.883156	-171.883156	-229.883156	-296.883156	-335.883156	-334.883156	-301.883156	-275.883156	-302.883156	-376.883156	-430.883156	-413.883156	-363.883156	-347.883156	-361.883156	-336.883156	-238.883156	-104.883156	1.116844
0	0	5445	1015.000000	1.#INF00	0.000000	0.000000	-222.883156	-275.883156	-199.883156	-16.883156	141.116844	121.116844	-138.883156	-528.883156	-804.883156	-783.883156	-518.883156	-235.883156	-106.883156	-110.883156	-94.883156	26.116844	177.116844	210.116844	77.116844	-138.883156	-309.883156	-347.883156	-245.883156	-83.883156	29.116844	28.116844	-67.883156	-201.883156	-322.883156	-394.883156	-389.883156	-315.883156
