4644	75
-3	-2	
raw
Accepted	Cluster	Timestamp	Height	Width	Slope	SlopeD	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
1	-2	2881318	897.000000	27.000000	33.222222	20.120902	-65.282037	-84.282037	-88.282037	-108.282037	-108.282037	-108.282037	-106.282037	-102.282037	-124.282037	-146.282037	-187.282037	-252.282037	-318.282037	-385.282037	-450.282037	-481.282037	-493.282037	-472.282037	-413.282037	-339.282037	-226.282037	-108.282037	5.717963	114.717963	204.717963	267.717963	280.717963	255.717963	206.717963	137.717963	64.717963	-7.282037	-47.282037	-62.282037	-42.282037	-2.282037	57.717963	121.717963	194.717963	269.717963	329.717963	369.717963	391.717963	403.717963	395.717963	379.717963	344.717963	311.717963	277.717963	251.717963	237.717963	208.717963	189.717963	178.717963	171.717963	157.717963	133.717963	113.717963	98.717963	78.717963	54.717963	35.717963	10.717963	-0.282037	-13.282037	-29.282037	-40.282037	-61.282037	-66.282037	-74.282037	-85.282037	-94.282037	-108.282037	-99.282037	-96.282037
1	-2	2881318	901.000000	27.000000	33.370370	23.138280	-447.282037	-483.282037	-501.282037	-475.282037	-411.282037	-336.282037	-232.282037	-119.282037	-1.282037	112.717963	201.717963	256.717963	274.717963	256.717963	210.717963	141.717963	48.717963	-3.282037	-44.282037	-58.282037	-47.282037	-11.282037	63.717963	117.717963	191.717963	266.717963	318.717963	359.717963	384.717963	399.717963	392.717963	371.717963	340.717963	319.717963	282.717963	252.717963	226.717963	206.717963	196.717963	177.717963	161.717963	148.717963	133.717963	118.717963	97.717963	73.717963	53.717963	36.717963	13.717963	-1.282037	-21.282037	-32.282037	-45.282037	-60.282037	-67.282037	-81.282037	-90.282037	-106.282037	-96.282037	-99.282037	-102.282037	-108.282037	-107.282037	-94.282037	-112.282037	-115.282037	-117.282037	-113.282037	-113.282037	-125.282037	-121.282037	-125.282037	-129.282037	-135.282037	-140.282037
1	-2	2881324	953.000000	12.000000	79.416667	20.622137	97.717963	88.717963	61.717963	32.717963	4.717963	-25.282037	-56.282037	-131.282037	-197.282037	-272.282037	-352.282037	-445.282037	-538.282037	-585.282037	-624.282037	-630.282037	-601.282037	-538.282037	-448.282037	-337.282037	-218.282037	-94.282037	15.717963	116.717963	208.717963	263.717963	300.717963	322.717963	322.717963	315.717963	278.717963	242.717963	203.717963	163.717963	133.717963	106.717963	87.717963	80.717963	80.717963	81.717963	81.717963	64.717963	79.717963	79.717963	69.717963	61.717963	52.717963	62.717963	43.717963	28.717963	21.717963	13.717963	10.717963	5.717963	9.717963	8.717963	10.717963	13.717963	16.717963	8.717963	2.717963	1.717963	-1.282037	-6.282037	-16.282037	-21.282037	-20.282037	-23.282037	-31.282037	-30.282037	-34.282037	-38.282037	-38.282037	-53.282037	-66.282037
1	-2	2881326	964.000000	14.000000	68.857143	18.098448	-46.282037	-47.282037	-30.282037	-41.282037	-65.282037	-93.282037	-136.282037	-186.282037	-282.282037	-377.282037	-461.282037	-539.282037	-608.282037	-650.282037	-650.282037	-618.282037	-555.282037	-478.282037	-372.282037	-260.282037	-148.282037	-34.282037	62.717963	143.717963	211.717963	262.717963	301.717963	313.717963	306.717963	306.717963	296.717963	281.717963	261.717963	243.717963	236.717963	230.717963	213.717963	209.717963	197.717963	192.717963	193.717963	176.717963	155.717963	156.717963	143.717963	134.717963	114.717963	97.717963	100.717963	72.717963	59.717963	41.717963	17.717963	-1.282037	-30.282037	-43.282037	-60.282037	-86.282037	-91.282037	-99.282037	-112.282037	-111.282037	-111.282037	-97.282037	-82.282037	-80.282037	-63.282037	-48.282037	-40.282037	-24.282037	-19.282037	-16.282037	-15.282037	-23.282037	-26.282037
1	-2	2881369	947.000000	13.000000	72.846154	19.588228	66.717963	54.717963	43.717963	25.717963	17.717963	11.717963	0.717963	-21.282037	-48.282037	-95.282037	-154.282037	-225.282037	-315.282037	-396.282037	-464.282037	-506.282037	-519.282037	-505.282037	-457.282037	-369.282037	-271.282037	-150.282037	-33.282037	80.717963	193.717963	280.717963	353.717963	391.717963	411.717963	427.717963	419.717963	393.717963	349.717963	330.717963	297.717963	268.717963	230.717963	201.717963	192.717963	159.717963	144.717963	118.717963	99.717963	88.717963	60.717963	50.717963	25.717963	2.717963	-1.282037	-14.282037	-28.282037	-39.282037	-45.282037	-49.282037	-54.282037	-70.282037	-73.282037	-80.282037	-79.282037	-75.282037	-81.282037	-79.282037	-64.282037	-58.282037	-47.282037	-54.282037	-56.282037	-44.282037	-60.282037	-71.282037	-88.282037	-103.282037	-105.282037	-126.282037	-124.282037
1	-2	2881407	942.000000	13.000000	72.461538	24.058820	-13.282037	-5.282037	0.717963	-1.282037	-0.282037	-6.282037	-27.282037	-77.282037	-145.282037	-227.282037	-317.282037	-429.282037	-524.282037	-578.282037	-617.282037	-620.282037	-596.282037	-530.282037	-429.282037	-321.282037	-200.282037	-79.282037	31.717963	138.717963	213.717963	264.717963	299.717963	312.717963	321.717963	308.717963	285.717963	264.717963	240.717963	211.717963	182.717963	165.717963	150.717963	125.717963	96.717963	87.717963	72.717963	50.717963	58.717963	50.717963	56.717963	68.717963	89.717963	132.717963	148.717963	168.717963	190.717963	213.717963	229.717963	228.717963	224.717963	213.717963	198.717963	179.717963	156.717963	126.717963	101.717963	81.717963	54.717963	28.717963	-5.282037	-37.282037	-56.282037	-81.282037	-106.282037	-126.282037	-146.282037	-148.282037	-153.282037	-157.282037	-155.282037
1	-2	2881413	849.000000	28.000000	30.321429	19.324583	-11.282037	16.717963	56.717963	78.717963	100.717963	126.717963	132.717963	126.717963	111.717963	79.717963	38.717963	-33.282037	-124.282037	-212.282037	-296.282037	-356.282037	-395.282037	-418.282037	-390.282037	-336.282037	-255.282037	-152.282037	-58.282037	51.717963	167.717963	263.717963	341.717963	379.717963	394.717963	385.717963	321.717963	257.717963	173.717963	99.717963	53.717963	20.717963	26.717963	35.717963	82.717963	155.717963	226.717963	278.717963	333.717963	389.717963	423.717963	430.717963	417.717963	403.717963	380.717963	349.717963	311.717963	266.717963	226.717963	193.717963	152.717963	105.717963	59.717963	9.717963	-20.282037	-54.282037	-91.282037	-118.282037	-138.282037	-146.282037	-153.282037	-162.282037	-162.282037	-147.282037	-126.282037	-112.282037	-102.282037	-101.282037	-65.282037	-48.282037	-39.282037
1	-2	2881413	850.000000	28.000000	30.357143	18.210154	-387.282037	-412.282037	-419.282037	-360.282037	-295.282037	-200.282037	-98.282037	8.717963	130.717963	224.717963	309.717963	368.717963	395.717963	391.717963	350.717963	292.717963	213.717963	133.717963	67.717963	34.717963	18.717963	23.717963	67.717963	120.717963	193.717963	262.717963	317.717963	374.717963	410.717963	429.717963	430.717963	409.717963	386.717963	363.717963	330.717963	290.717963	248.717963	213.717963	177.717963	128.717963	82.717963	35.717963	-8.282037	-48.282037	-76.282037	-109.282037	-125.282037	-142.282037	-150.282037	-146.282037	-161.282037	-151.282037	-136.282037	-117.282037	-104.282037	-100.282037	-75.282037	-54.282037	-39.282037	-29.282037	-25.282037	-15.282037	-7.282037	-10.282037	-19.282037	-29.282037	-44.282037	-54.282037	-75.282037	-104.282037	-124.282037	-141.282037	-151.282037	-163.282037	-181.282037
1	-2	2881463	939.000000	13.000000	72.230769	21.140516	-57.282037	-67.282037	-78.282037	-81.282037	-81.282037	-80.282037	-75.282037	-80.282037	-87.282037	-113.282037	-159.282037	-222.282037	-289.282037	-357.282037	-437.282037	-490.282037	-518.282037	-503.282037	-470.282037	-418.282037	-305.282037	-190.282037	-63.282037	54.717963	162.717963	269.717963	330.717963	381.717963	411.717963	420.717963	418.717963	404.717963	388.717963	360.717963	330.717963	298.717963	272.717963	241.717963	220.717963	200.717963	183.717963	176.717963	164.717963	149.717963	139.717963	124.717963	112.717963	99.717963	72.717963	59.717963	43.717963	27.717963	21.717963	12.717963	22.717963	14.717963	13.717963	16.717963	15.717963	13.717963	8.717963	26.717963	30.717963	37.717963	39.717963	46.717963	57.717963	40.717963	39.717963	30.717963	26.717963	15.717963	-5.282037	-8.282037	-27.282037
1	-2	2881474	1034.000000	13.000000	79.538462	17.967712	-73.282037	-88.282037	-98.282037	-106.282037	-118.282037	-127.282037	-145.282037	-171.282037	-204.282037	-254.282037	-314.282037	-389.282037	-468.282037	-538.282037	-596.282037	-642.282037	-628.282037	-597.282037	-529.282037	-427.282037	-313.282037	-168.282037	-59.282037	63.717963	176.717963	262.717963	325.717963	364.717963	391.717963	385.717963	343.717963	273.717963	192.717963	94.717963	-1.282037	-83.282037	-153.282037	-189.282037	-199.282037	-187.282037	-155.282037	-115.282037	-56.282037	8.717963	66.717963	119.717963	169.717963	209.717963	243.717963	251.717963	248.717963	243.717963	228.717963	212.717963	184.717963	154.717963	127.717963	120.717963	107.717963	97.717963	88.717963	92.717963	111.717963	94.717963	90.717963	77.717963	68.717963	58.717963	31.717963	24.717963	8.717963	-0.282037	0.717963	-10.282037	-23.282037
